"","CD4_thymus_1","CD4_thymus_2","CD4_thymus_3","CD4_thymus_4","CD4_bloodinfant_1","CD4_bloodinfant_2","CD4_bloodinfant_3","CD4_bloodinfant_4","CD8_thymus_1","CD8_thymus_2","CD8_thymus_3","CD8_thymus_4","CD8_thymus_5","CD8_bloodinfant_1","CD8_bloodinfant_2","CD8_bloodinfant_3"
"AMPD3",1044,1463,3599,1501,956,1629,1064,935,1506,324,2217,307,1163,73,102,21
"AMPH",245,297,531,262,35,33,8,45,29,7,26,7,20,1,1,0
"AMT",90,166,280,137,66,296,95,202,490,72,387,82,466,8,4,4
"AMY2B",502,642,1223,555,788,801,596,615,995,213,950,173,849,36,37,25
"AMZ2",2704,3018,6628,2948,2880,3309,2717,1478,2713,903,3083,1002,1695,151,165,88
"AMZ2P1",420,934,864,463,725,1375,547,434,586,145,579,211,329,54,19,19
"ANAPC1",6114,7279,17929,7435,5004,6079,4760,3752,4858,1532,5589,1877,3460,220,281,160
"ANAPC10",1563,1623,3619,1167,1393,1495,1131,941,1057,308,1339,422,710,48,42,18
"ANAPC11",1592,1563,3046,1445,725,816,614,409,540,137,620,200,292,55,46,25
"ANAPC13",1643,2194,4951,2199,1194,1985,1390,700,858,297,1296,426,706,77,80,30
"ANAPC15",1895,2513,4260,2447,1361,2104,1192,796,1336,446,1617,546,880,93,72,41
"ANAPC16",9960,14570,18106,10011,12706,12862,10287,5715,6672,2110,8032,2415,4344,409,476,260
"ANAPC1P1",95,87,160,67,29,33,29,42,265,48,234,61,131,3,7,5
"ANAPC1P2",276,378,602,350,342,806,292,412,434,92,409,162,329,27,9,14
"ANAPC1P4",15,48,88,31,22,88,67,28,25,5,77,5,31,5,4,6
"ANAPC2",821,1147,2588,1146,1096,1675,966,1281,1548,296,1157,284,1075,93,84,47
"ANAPC4",1881,2685,5707,2200,1526,2421,1711,1544,2570,556,2832,777,2082,72,85,54
"ANAPC5",8407,10849,19845,9098,5537,8573,5939,5635,7047,2113,7919,2751,5260,405,463,230
"ANAPC7",1836,2144,5522,1822,1037,1869,1114,1051,2061,749,2381,852,1576,52,94,34
"ANGEL1",1604,1917,4300,1912,1909,2197,1959,1260,1349,403,1435,413,1015,100,116,55
"ANGEL2",3241,4067,9624,3614,3496,4745,3945,3208,3084,959,3543,969,2403,152,134,73
"ANGPT1",472,419,2988,1094,48,423,139,246,194,92,546,150,189,14,5,8
"ANGPT2",89,27,45,14,8,67,0,5,37,25,44,29,58,1,0,0
"ANGPTL1",22,37,6,2,0,0,0,0,55,15,42,149,32,0,0,0
